"Poste Source","Evènement","Date de détection","Ouvrage","Détail","Priorité","Etat","Échéance","Entité"
"ALSACE",,,,"Absence d’éclairage au niveau des salles aéros + conservateurs des TR611 et TR613",,"Réalisée",,
"ALSACE",,,,"Aeros tr611 a nettoyer",,"Réalisée",,
"ALSACE",,,,"Aeros tr612 a nettoyer",,"Réalisée",,
"ALSACE",,,,"Aeros tr613 a nettoyer",,"En cours",,
"ALSACE",,,,"affichage amiante KO",,"A réaliser",,
"ALSACE",,,,"affichage SF6 KO",,"Réalisée",,
"ALSACE",,,,"Ancien coffret à déposer au niveau de l'entrée, à côté du coffret de présence ",,"Réalisée",,
"ALSACE",,,,"Chauffage HS dans tout le poste",,"A réaliser",,
"ALSACE",,,,"eclairage a revoir dans la grille HTA611 et 612 au niveau cuves de la PIT",,"En cours",,
"ALSACE",,,,"Eclairage de l’intégralité du poste (salles rames, salle CC, couloirs etc…) ",,"Réalisée",,
"ALSACE",,,,"Fuite d’eau au RDC venant des étages (impossible de faire couler de l’eau à partir du R+1 sans inonder le RDC)",,"Réalisée",,
"ALSACE",,,,"Gachette barrière HS",,"Réalisée",,
"ALSACE",,,,"Infiltration d’eau dans certaines salles rames",,"Réalisée",,
"ALSACE",,,,"Moteur aero tr613 bruyant",,"A réaliser",,
"ALSACE",,,,"partie fixe du 2L53 HS",,"Réalisée",,
"ALSACE",,,,"Portail entrée PSEM (très dur et cassé, impossible à fermer à moins de trois personnes avec la dépression)",,"Réalisée",,
"ALSACE",,,,"porte de secours au R+2 HS",,"A réaliser",,
"ALSACE",,,,"Serrure local batteries à changer ",,"A réaliser",,
"ALSACE",,,,"Stationnement des deux roues de plus en plus problématique, voir ce qu’il est possible de faire",,"Réalisée",,
"ALSACE",,,,"Stockage de DJHTA + MALT dans une des salle rames",,"Réalisée",,
"ALSACE",,,,"TR611 : Problème Inter-sectionneurs : contact non franc qui indique un Problème de positions",,"Réalisée",,
"ALSACE",,,,"TR611 et TR612 : Fuite d’huile sur la borne HTA, investigation à intégrer lors de la sortie d’ouvrage.",,"En cours",,
"ALSACE",,,,"TR612 : Problème Inter-sectionneurs : contact non franc qui indique un Problème de positions",,"Réalisée",,
"ALSACE",,,,"TR612 Pose des caillebotis en loge ",,"Réalisée",,
"ALSACE",,,,"TR612 Recherche de fuite SF6 en loge sur les traversés HTB",,"Réalisée",,
"ALSACE",,,,"TR613 : Problème Inter-sectionneurs : contact non franc qui indique un Problème de positions",,"Réalisée",,
"ALSACE",,,,"Tubulure Alimentation d’eau couloir aéro dessoudée ",,"Réalisée",,
"ALSACE",,,,"Vérification du pont roulant ",,"Réalisée",,
"AMPERE",,,,"2 Néon HS dans la rame A",,"Réalisée",,
"AMPERE",,,,"Absence de bagues câbles HTA au niveau de la Grille HTA TR611 ",,"En cours",,
"AMPERE",,,,"Affichage réglementaire nouveaux ancrages individuel loge PIT AT à faire",,"A réaliser",,
"AMPERE",,,,"beaucoup de poussière sur la RPN et les TT du TR 611 ",,"Réalisée",,
"AMPERE",,,,"Bloc secours HS sous sol TR611",,"Réalisée",,
"AMPERE",,,,"Bruit Moteur aeros TR 612 bas droit",,"Réalisée",,
"AMPERE",,,,"Complément huile conservateur à faire",,"Réalisée",,
"AMPERE",,,,"Contrôle fuite sous sol post nettoyage / curage",,"A réaliser",,
"AMPERE",,,,"Contrôler intégrité des échelles et autres équipements cuve pompe surverse TR611",,"A réaliser",,
"AMPERE",,,,"Défaut interne PSEM compartiments A, D, E, H PHA, B, C",,"Réalisée",,
"AMPERE",,,,"Défaut ventilateur de gaine créant défaut ventilation cuve de barbotage",,"A réaliser",,
"AMPERE",,,,"Eclairage extérieur HS + prises exterieurs HS DJ declenche",,"A réaliser",,
"AMPERE",,,,"Eclairage local UA HS",,"Réalisée",,
"AMPERE",,,,"Eclairage sous sol  TR611 à remplacer",,"Réalisée",,
"AMPERE",,,,"Eclateur mal réglé sur les phases A et C du tr 613",,"En cours",,
"AMPERE",,,,"Etais en bout de galerie",,"A réaliser",,
"AMPERE",,,,"Gestion évacutation et inflitrations d'eau",,"A réaliser",,
"AMPERE",,,,"Groom HS loge TR612",,"Réalisée",,
"AMPERE",,,,"Groom HS loge TR613",,"Réalisée",,
"AMPERE",,,,"Groom portes HS et porte gondolées",,"Réalisée",,
"AMPERE",,,,"Manque identification des DJ HTA dans les rames A,B,C,D,E,F,G",,"A réaliser",,
"AMPERE",,,,"Manque support TC S47 sous rame",,"A réaliser",,
"AMPERE",,,,"Manque triangles de signalisations sur la cloture vieux poste",,"A réaliser",,
"AMPERE",,,,"Moteur de ventilation de l’AT112 est HS",,"Réalisée",,
"AMPERE",,,,"Nettoyage / curage regards et cuve pompe surverse TR611",,"A réaliser",,
"AMPERE",,,,"Nettoyage aéros + locaux entrée d'air a faire!",,"Réalisée",,
"AMPERE",,,,"Nettoyage des locaux sociaux à prévoir après intervention « AEVIA »",,"Réalisée",,
"AMPERE",,,,"Nombreux caches des protections des cellules HTA retirés ",,"En cours",,
"AMPERE",,,,"Plaque identif des AR HTA du TR612 + 613",,"A réaliser",,
"AMPERE",,,,"Plusieurs câbles (BT) coupés et non isolés dans la loge TR613 + câbles enroulés dans la loge du TR613",,"Réalisée",,
"AMPERE",,,,"plusieurs cables BT coupes dans la loge du 613",,"Réalisée",,
"AMPERE",,,,"Porte armoire PSEM TR 612 HS",,"Réalisée",,
"AMPERE",,,,"Rame G+H manque les protections en haut des cellules",,"A réaliser",,
"AMPERE",,,,"Recenssement stock DJ HTA fonctionnel",,"A réaliser",,
"AMPERE",,,,"Récupérer les compresseurs",,"Réalisée",,
"AMPERE",,,,"Relamping salle rame A",,"Réalisée",,
"AMPERE",,,,"Relamping salle rame E",,"Réalisée",,
"AMPERE",,,,"Relamping salle rame I",,"A réaliser",,
"AMPERE",,,,"RGT coupé en bout de galerie",,"A réaliser",,
"AMPERE",,,,"Serrure HS TR613 côté piste lourde",,"Réalisée",,
"AMPERE",,,,"Serrure loge AT pelouse HS",,"Réalisée",,
"AMPERE",,,,"Serrure porte galerie pas en locken",,"A réaliser",,
"AMPERE",,,,"seuls les bpag du bat 20KV fonctionnent le reste ne fonctionne pas",,"Réalisée",,
"AMPERE",,,,"Silicagel à changer sur les assecheur régleur du 611 et 613",,"Réalisée",,
"AMPERE",,,,"Sous-sol sous rame G gros grésillement (TC ??)",,"A réaliser",,
"AMPERE",,,,"Stockage matériel loge AT111",,"Réalisée",,
"AMPERE",,,,"Téléphones PS non fonctionnels",,"Réalisée",,
"AMPERE",,,,"TR 612 roulement à changer sur l’aéroréfrigérants bas droit",,"Réalisée",,
"AMPERE",,,,"TR611 : Complément Conservateur Régleur à faire ",,"Réalisée",,
"AMPERE",,,,"Trappe ventil loge AT111 maintenue ouverte par une planche",,"Réalisée",,
"AMPERE",,,,"Trémies grille HTA  TR612 + AT112 a boucher",,"A réaliser",,
"AMPERE",,,,"ARR 71 et 91 étaient en défaut mineurs",,"Réalisée",,
"AMPERE",,,,"TA en défaut liaison",,"Réalisée",,
"AMPERE",,,,"Faisceaux TR611 sales ",,"A réaliser",,
"AMPERE",,,,"Compact local redresseur TGBT consigné (besoin de ventiler avec chaleurs)",,"A réaliser",,
"AMPERE",,,,"Le câble « 21/CRF E/CRF F » n’est pas raccordé dans le CRF de la RAME E. Il est bien câblé dans la rame F ",,"A réaliser",,
"AMPERE",,,,"Liaison équipotentielle à reprendre sur la porte du local RPN 611 (remplacement tresse)",,"A réaliser",,
"AMPERE",,,,"Dysfonctionnement P17 / Défaillance Terre <=> Premières mesures réalisées, à poursuivre ",,"En cours",,
"AMPERE",,,,"Défaut terre présent sur la centrale",,"A réaliser",,
"AMPERE",,,,"Tresse de MALT de la porte rame A coté piste lourde HS",,"Réalisée",,
"ARGENTEUIL",,,,"Batiment tres sale",,"Réalisée",,
"ARGENTEUIL",,,,"Concertina HS derriere les condos",,"En cours","travaux en cours demolition",
"ARGENTEUIL",,,,"Condos HS a evacuer",,"A réaliser",,
"ARGENTEUIL",,,,"DJ HTA sans BIG BAG",,"A réaliser",,
"ARGENTEUIL",,,,"eclairage exterieur HS ",,"A réaliser",,
"ARGENTEUIL",,,,"Eclairage partie RTE et partie bâtiment HTA ",,"A réaliser",,
"ARGENTEUIL",,,,"EMIC PA HS",,"Réalisée",,
"ARGENTEUIL",,,,"nombreux câbles  sans MALT dans le sous sol",,"A réaliser",,
"ARGENTEUIL",,,,"Passer bouton coffret présence en face avant ",,"A réaliser",,
"ARGENTEUIL",,,,"Portail a dépanner",,"Réalisée",,
"ARGENTEUIL",,,,"Refixer au mur tuyau d'eau loge TR612",,"Réalisée",,
"ARGENTEUIL",,,,"Réparation portail automatique ",,"Réalisée",,
"ARGENTEUIL",,,,"STA + STB TR612 HS",,"En cours",,
"ARGENTEUIL",,,,"STA + STBTR611 HS ",,"Réalisée",,
"ARGENTEUIL",,,,"Telephone fixe HS",,"A réaliser",,
"ARGENTEUIL",,,,"Tremie a reboucher R91",,"A réaliser",,
"ARGENTEUIL",,,,"TS porte ouverte HS depuis le déplacement du portail par RTE",,"A réaliser",,
"ARGENTEUIL",,,,"PORTAIL ELECTRIQUE : Fermeture difficile vigilance bonne fermeture ",,"A réaliser",,
"ARGENTEUIL",,,,"Analyse R20 problème position",,"Réalisée",,
"ARGENTEUIL",,,,"Entretien DJ et dépannage relais : Position F couplage R20 ",,"A réaliser",,
"ARGENTEUIL",,,,"AT113 : Tresses de terre extrémités dérracordées ",,"A réaliser",,
"ARGENTEUIL",,,,"AT113 : Ecoulement RLT ",,"A réaliser",,
"ARGENTEUIL",,,,"Climatisation salle CC HS ",,"En cours",,
"ARGENTEUIL",,,,"Grille TR312 : Désherbage à prévoir ",,"A réaliser",,
"ARGENTEUIL",,,,"TR611 : Aéros sales ",,"A réaliser",,
"ARGENTEUIL",,,,"TR612 : Aéros sales",,"A réaliser",,
"ARGENTEUIL",,,,"TR612 : Légère fuite haut TR ",,"A réaliser",,
"ARGENTEUIL",,,,"Une fuite au niveau de la pompe TR612 a été constaté.",,"A réaliser",,
"ARGENTEUIL",,,,"Dans la grille 611-1, niveau d’huile du TIP de la phase 2 est au minimum",,"A réaliser",,
"ARGENTEUIL",,,,"Un câble de terre reliant la cuve TR à l’armoire filerie est déconnecté sur le TR611",,"Réalisée",,
"ARGENTEUIL",,,,"Dans la sous-tranche de plusieurs départ (DJ débrochés), il manque des module de protections (R27,R33,R37,R67 et R96)",,"A réaliser",,
"ARGENTEUIL",,,,"Coulure RLT sur les liaison HTA de l’AT 113.",,"A réaliser",,
"ARGENTEUIL",,,,"Les Liaisons HTA de l’AT 111 ne sont pas identifiées côté Rame.",,"A réaliser",,
"ARGENTEUIL",,,,"Niveau d’huile TIP sur le TR315 n’est pas lisible.",,"A réaliser",,
"ARGENTEUIL",,,,"Les Locaux TSA sont dans un mauvais état niveau propreté.",,"A réaliser",,
"ARGENTEUIL",,,,"Défaut DJ R52 et 54, traiter défaut en urgence",,"Réalisée",,
"ARGENTEUIL",,,,"Traitement défaut R52 R54 de anière pérenne (conditions à retirer)",,"A réaliser",,
"BOULE",,,,"SSI : en dérangement + zone HS + AES 1 et 3 en défaut batteries",,"A réaliser",,
"BOULE",,,,"Température élévée dans la salle contrôle commande",,"A réaliser",,
"BOULE",,,,"Niveau d'huile bas dans le compartiment régleur TR 612",,"A réaliser",,
"BOULE",,,,"Légère fuite niveau tuyauterie aéro TR612",,"A réaliser",,
"BOULE",,,,"Enretiens aéro à prévoir sur les 3 transfo",,"A réaliser",,
"BOULE",,,,"Pas d'éclairage dans l'armoire de cmmde PSEM TR 613",,"A réaliser",,
"BOULE",,,,"Bruit anormal vers l'armoire régleur TR611",,"A réaliser",,
"BOULE",,,,"Locaux PIT sentent l'humidité.",,"A réaliser",,
"BOULE",,,,"Terre batterie tjrs en apparition",,"A réaliser",,
"BOULE",,,,"Défaut mineur sur la TCFM",,"A réaliser",,
"BOULE",,,,"Plusieurs point d'éclairage ne fonctionnent pas au sous sol -2",,"A réaliser",,
"BOULE",,,,"Sur les câbles HTB Du TR 611 et 613, il manque les bagues d'identifications",,"A réaliser",,
"BOULE",,,,"Défaut ventil A sur le TR 613",,"A réaliser",,
"BOULE",,,,"Défaut ventil B sur le TR 612",,"A réaliser",,
"BOULE",,,,"Défaut ventil B sur le TR 611",,"A réaliser",,
"BOULE",,,,"Trémis à boucher dans le local conservateur TR 611 et 612 au R+2",,"A réaliser",,
"BOULE",,,,"les faisceaux des aéros TR611 en mauvais état",,"A réaliser",,
"BOULE",,,,"Les SLP de toutes les arrivées sauf le 6U23 étaient désactivées. Après avoir échangé avec le CCO, la commande de la MES SLP n’est pas configurée côté ACR.  Avec l’accord de M.MAS, j’ai passé la commande de MES SLP depuis le PO sur les éléments suivants : 6U11, 6U12, 6U32,6U33 et TR611.",,"Réalisée",,
"BOULE",,,,"Légère fuite au niveau d’un joint du circuit de refroidissement sur le TR612.",,"A réaliser",,
"BILLANCOURT",,,," Portail Pierre Grenier à reprendre",,"Réalisée",,
"BILLANCOURT",,,,"Absence BPAG salle rame",,"A réaliser",,
"BILLANCOURT",,,,"aero TR311 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"Aeros TR314 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"Aeros TR315 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"Aeros TR317 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"BPAG HS dans l'ensemble du PS",,"A réaliser",,
"BILLANCOURT",,,,"Câble HTA 1D69  câbles coupés dans la cellule",,"En cours",,
"BILLANCOURT",,,,"câble HTA 1D69 coupé dans la cellule",,"A réaliser",,
"BILLANCOURT",,,,"Câbles BT coupés et laissés dans le couloir du bâtiment T",,"A réaliser",,
"BILLANCOURT",,,,"Caissons anti-bruit du TR317 déposés",,"A réaliser",,
"BILLANCOURT",,,,"Commande CI6 HS ",,"A réaliser",,
"BILLANCOURT",,,,"Desherbage a faire piste lourde devant les loges TR",,"Réalisée",,
"BILLANCOURT",,,,"eclairage exterieur HS ",,"A réaliser",,
"BILLANCOURT",,,,"Empiètement barrièrage du décret 94 sur le décret 92 ",,"A réaliser",,
"BILLANCOURT",,,,"iso grille HTA TR312 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"iso grille HTA TR313 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"iso grille HTA TR314 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"iso grille HTA TR315 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"iso grille HTA TR317 a nettoyer",,"A réaliser",,
"BILLANCOURT",,,,"iso TR311 sales",,"A réaliser",,
"BILLANCOURT",,,,"Joints fenêtre 2ieme étage HS salle stockage ",,"A réaliser",,
"BILLANCOURT",,,,"KlaxonHS",,"A réaliser",,
"BILLANCOURT",,,,"Locken HS partie extérieur du portail",,"A réaliser",,
"BILLANCOURT",,,,"Lot TR312 déposé et laissé au sol",,"A réaliser",,
"BILLANCOURT",,,,"Malfaçon au niveau du mur extérieur de la nouvelle ½ rame 3B ",,"A réaliser",,
"BILLANCOURT",,,,"MAnque affichage AT 14 et 15",,"A réaliser",,
"BILLANCOURT",,,,"Manque baguage cable HTA dans plusieurs rames",,"A réaliser",,
"BILLANCOURT",,,,"PIT en derangement aT26+ TR317",,"A réaliser",,
"BILLANCOURT",,,,"PIT HS: Zone2(AT26) et zone14(TR317) hors service ",,"En cours",,
"BILLANCOURT",,,,"Présence d’un étai dans la galerie HTA ",,"A réaliser",,
"BILLANCOURT",,,,"Prévoir Formation SSI",,"Réalisée",,
"BILLANCOURT",,,,"Problème circulation huile TR314 + Aéros",,"Réalisée",,
"BILLANCOURT",,,,"rames HTA tres poussiereuses suite aux travaux",,"A réaliser",,
"BILLANCOURT",,,,"Sonnerie HS",,"A réaliser",,
"BILLANCOURT",,,,"SSI HS: Zone 1(RDC) et zone 104(galerie coté RTE) hors service ",,"A réaliser",,
"BILLANCOURT",,,,"stockage au rDC normal?",,"A réaliser",,
"BILLANCOURT",,,,"TR313 a nettoyer et bruit anormal moteur du milieu",,"A réaliser",,
"BILLANCOURT",,,,"TR314 legere fuite bac au sol",,"A réaliser",,
"BILLANCOURT",,,,"TS porte ouverte HS",,"A réaliser",,
"BOULE",,,,"Absence de BAES dans les salles sous-rames",,"A réaliser",,
"BOULE",,,,"Aeros TR612 a faire",,"Réalisée",,
"BOULE",,,,"contacteur ventil loge 612 HS",,"A réaliser",,
"BOULE",,,,"defaut mineur lot 1A-2A et 1B-2B",,"Réalisée",,
"BOULE",,,,"Défaut voyant « ventil B » allumé TR611",,"A réaliser",,
"BOULE",,,,"Detecteur GAZ -2 (zone PIT) défaut batterie",,"Réalisée",,
"BOULE",,,,"Eclairage gradins de condos HS",,"Réalisée",,
"BOULE",,,,"eclairage sanitaires hommes HS ",,"A réaliser",,
"BOULE",,,,"Etanchéité coté piste lourde",,"Réalisée",,
"BOULE",,,,"Extincteurs du PS non vérifié depuis 2020",,"Réalisée",,
"BOULE",,,,"GDP ne voit pas la présence Enedis et RTE",,"Réalisée",,
"BOULE",,,,"Groom HS de la porte de la rame 3B",,"Réalisée",,
"BOULE",,,,"Manque plaque identif sur l es câbles HTA  (liste dans visite poste CEX)",,"A réaliser",,
"BOULE",,,,"Nettoyage poste",,"Réalisée","plus defaut batterie desormais",
"BOULE",,,,"Niveau bas conservateur 612",,"A réaliser","STOCK LIES AUX TR SUR PLACE",
"BOULE",,,,"Pas BAES sous les rames",,"A réaliser",,
"BOULE",,,,"Pas d’alarme sonore",,"Réalisée",,
"BOULE",,,,"Plaque signalétique présence SF6 à ajouter",,"Réalisée",,
"BOULE",,,,"Plusieurs câbles HTA ne sont pas identifiés au sous-sol des rames      ",,"En cours",,
"BOULE",,,,"plusieurs groom et serrures HS",,"Réalisée",,
"BOULE",,,,"presence RTE ne remonte pas a l'ACR",,"A réaliser",,
"BOULE",,,,"Présence trace pluie au niveau du TGBT (1er étage) + autres murs et sol",,"Réalisée",,
"BOULE",,,,"Relamping du R-1 et salle rame 1B à prévoir",,"Réalisée",,
"BOULE",,,,"Relamping R-1 a prevoir",,"Réalisée",,
"BOULE",,,,"relamping rame 1B a faire",,"A réaliser",,
"BOULE",,,,"SSI en dérangement : Dérangement AES (TR611 + TR613) + Surveillance alimentation",,"A réaliser",,
"BOULE",,,,"Stock matériel au niveau des RPN 611 + 612 + 613",,"A réaliser",,
"BOULE",,,,"Trappes de ventil basses loges 611 et 613 a nettoyer",,"A réaliser",,
"BOULE",,,,"trappes extraction haute loge 611 et 612 fermées",,"A réaliser",,
"BOULE",,,,"Une boite type « coffret sous trottoir » se trouve à l’entrée de la galerie2",,"En cours",,
"BOULE",,,,"Voyant « trappes fermées » allumé TR612 apparemment PB sur câblage",,"A réaliser",,
"COURBEVOIE",,,,"Absence TS Porte ouverte",,"A réaliser",,
"COURBEVOIE",,,,"Aéros TR311 a nettoyer",,"A réaliser",,
"COURBEVOIE",,,,"AEROS TR312 a nettoyer",,"A réaliser",,
"COURBEVOIE",,,,"AEROS TR313 a nettoyer",,"A réaliser",,
"COURBEVOIE",,,,"Besoin d’installation de miroir pour mieux contrôler l’état des conservateurs (TR312 + AT11)",,"A réaliser",,
"COURBEVOIE",,,,"Besoin d’installation de miroir pour mieux contrôler l’état des conservateurs : ATR n°111 + ATR n°112 + TR n°312 + TR n°311",,"A réaliser",,
"COURBEVOIE",,,,"besoin miroir pour verif niveau conservateur 312+AT111+AT112",,"A réaliser",,
"COURBEVOIE",,,,"Câble 1M33 coupé mais raccordé dans la cellule",,"A réaliser",,
"COURBEVOIE",,,,"Câbles  HTA 1M14 (ARTERE COUPELLE) non fixé au mur comme les autres à coté ",,"En cours",,
"COURBEVOIE",,,,"Cellule 1M33 (ARTERE COULEUVRE) : Câbles coupés + laissés raccordés à la Cellule HTA ",,"En cours",,
"COURBEVOIE",,,,"Déplacement et changement technologie détecteur TR313",,"A réaliser",,
"COURBEVOIE",,,,"Eclairage HS (sous sol rame 2A/1B/1A/4A/Grille311/AT111/Liaison 20k/Loge TR311/Sanitaires/Eclairage globe)",,"En cours",,
"COURBEVOIE",,,,"eclairages HS a divers endroits voir liste visite CEX",,"A réaliser",,
"COURBEVOIE",,,,"Evacuation eau de plui bouchée piste lourde",,"A réaliser",,
"COURBEVOIE",,,,"Evacuation eau de pluie bouchée (caniveau sur la piste lourde)",,"En cours",,
"COURBEVOIE",,,,"Evacuation eau de pluie bouchée (caniveau sur la piste lourde) ",,"A réaliser",,
"COURBEVOIE",,,,"Groom HS : Porte principale/ Salle CC / Sous sol porte principale",,"A réaliser",,
"COURBEVOIE",,,,"groom HS voir liste visite CEX",,"A réaliser",,
"COURBEVOIE",,,,"KLAXON HS",,"A réaliser",,
"COURBEVOIE",,,,"Libellés remontées info PIT non conforme <=> toute alarme hors déclenchement sont affiliées aux alarmes techniques DI bâtiments",,"A réaliser",,
"COURBEVOIE",,,,"Locaux TSA empoussiérés ",,"A réaliser",,
"COURBEVOIE",,,,"Manque bagage cellules HTA et identif câbles HTA",,"A réaliser",,
"COURBEVOIE",,,,"Nombreuses bagues d’identifications de câbles HTA manquantes",,"En cours",,
"COURBEVOIE",,,,"Nombreuses identifications de Cellules HTA manquantes ",,"En cours",,
"COURBEVOIE",,,,"Nombreux tourets câbles laissés au fond du PS ",,"A réaliser",,
"COURBEVOIE",,,,"PIT en dérangement: Dérangement poids bouteilles TR312",,"A réaliser",,
"COURBEVOIE",,,,"PIT HS",,"A réaliser",,
"COURBEVOIE",,,,"Problème bagotage SSI / Remplacement détecteur aéro TR313",,"Réalisée","ampoule 48 V a commander",
"COURBEVOIE",,,,"Problème de condos",,"A réaliser","ampoule 48 V a commander",
"COURBEVOIE",,,,"Rames 3A/3B hors exploitation: Les Rames/DJHTA sont restés sur place sans surveillance SF6",,"A réaliser",,
"COURBEVOIE",,,,"Serrures HS Portail + Portillon (chainette installée) ",,"Réalisée",,
"COURBEVOIE",,,,"SSI en dérangement: Dérangement Zone DI8(Local Technique) et Zone DI10(Local Co2)",,"A réaliser",,
"COURBEVOIE",,,,"Stockage de plusieurs DJ HTA posés au sol en salles Rame + TIP en loge TR313",,"A réaliser",,
"COURBEVOIE",,,,"Téléphones PS non fonctionnels",,"Réalisée",,
"COURBEVOIE",,,,"Terre batterie à identifier ",,"Réalisée",,
"COURBEVOIE",,,,"TIP 313 HS",,"A réaliser",,
"DANTON",,,," Armoire commande DJ HTB TR315 : légère fuite au niveau du filtre.",,"Réalisée",,
"DANTON",,,," Avaloir à curer et pompe de relevage à renforcer",,"En cours",,
"DANTON",,,," Câble BT au sol capoté dans grille HTA du TR311 ?",,"A réaliser",,
"DANTON",,,," CI TR313 et TR 315 : ampoule HS .",,"A réaliser",,
"DANTON",,,," Coffrets ventilations TR311+TR312+TR314+TR315+AT4+AT24 :voyants de signalisation HS.",,"A réaliser",,
"DANTON",,,," Eclairage à reprendre dans salle CC",,"Réalisée",,
"DANTON",,,," Nettoyage à faire au sous-sols (attente palan)",,"Réalisée",,
"DANTON",,,," TR 312 Aéros groupe 1 HS",,"Réalisée",,
"DANTON",,,," TR313 :légère fuite au niveau de la phase 10 à déterminer.",,"Réalisée",,
"DANTON",,,," TR314 fuite d’huile Ph6",,"En cours",,
"DANTON",,,," TR315 :légère fuite au niveau de la pompe",,"Réalisée",,
"DANTON",,,,"2 trémies à reboucher rame 4, à voir avec le réseau",,"En cours",,
"DANTON",,,,"Centrale incendie à contrôler et extincteurs",,"Réalisée",,
"DANTON",,,,"Création d’un muret autour de chaque pénétration pour stopper l’eau lors de l’entretien des aéros",,"A réaliser",,
"DANTON",,,,"Eclairage HS coté PIT et PIC ",,"Réalisée",,
"DANTON",,,,"Matériel à classer et à ranger(relais, protection commande disj, TC…)",,"A réaliser",,
"DANTON",,,,"PLEU à contrôler",,"A réaliser",,
"DANTON",,,,"Relamping salle PIT+Couloir derrière grilles HTA",,"Réalisée",,
"DANTON",,,,"Téléphone HS salle contrôle commande",,"Réalisée",,
"DANTON",,,,"TR312 : Aéro groupe 1 HS",,"A réaliser",,
"DANTON",,,,"TR312 : Fuite d'huile commande DJ HTB",,"Réalisée",,
"DANTON",,,,"TR315 : Défaut aéro furtif",,"A réaliser",,
"DANTON",,,,"Défaut clapet coupe feux en zone 9",,"A réaliser",,
"DANTON",,,,"PA HTB manque EMIC",,"A réaliser",,
"DANTON",,,,"Trémies a bouchée 1T43 2T49  câbles coupé non mis a la terre 1t43 Défaut DJ3T43 3T14 et S4B",,"A réaliser",,
"DANTON",,,,"Entretien aero a prévoir",,"A réaliser",,
"DANTON",,,,"Pression a 7 BAR du TR 315",,"A réaliser",,
"DANTON",,,,"Niveau mini DJ HTB 313",,"A réaliser",,
"DANTON",,,,"Légère fuite d'huile  DJ HTB 315",,"A réaliser",,
"DANTON",,,,"TSA 2 Bruit de tôle",,"A réaliser",,
"DANTON",,,,"probleme de serrure at 14",,"A réaliser",,
"LA BRICHE",,,," BPAG sous sol HS",,"Réalisée",,
"LA BRICHE",,,,"Aeros 312 a nettoyer",,"A réaliser",21/05/2024,
"LA BRICHE",,,,"Aeros 313 a nettoyer",,"Réalisée",,
"LA BRICHE",,,,"AEROS 611 A NETTOYER",,"Réalisée",,
"LA BRICHE",,,,"Certaines portes du bâtiments HTA ne sont pas à la terre.",,"Réalisée",21/05/2024,
"LA BRICHE",,,,"CHAUFFAGE RAMES HS",,"Réalisée",,
"LA BRICHE",,,,"Complément Huile Bâche DJ HTB TR611 PH8 à prévoir + fuite au niveau du filtre ",,"Réalisée",,
"LA BRICHE",,,,"Eclairage de l'ensemble des loges TR HS + prises de courant",,"Réalisée",,
"LA BRICHE",,,,"etiquettage complet des departs a faire et inversion plaque identif salles rames 3",,"Réalisée",,
"LA BRICHE",,,,"Faire installer serrures loges TR 3XX. ",,"A réaliser",,
"LA BRICHE",,,,"Formation SSI à prévoir ",,"A réaliser",,
"LA BRICHE",,,,"Grésillement inquiétant Rame 1B",,"Réalisée",,
"LA BRICHE",,,,"Installation radiateur dans la salle réserve.",,"Réalisée",,
"LA BRICHE",,,,"La porte du coffret AR/AUTO TR 611 est cassé",,"Réalisée",,
"LA BRICHE",,,,"Les portes d’accès au sous-sol et à la TCFM sont fracturées.",,"Réalisée",,
"LA BRICHE",,,,"Manque affichage SF6",,"Réalisée",,
"LA BRICHE",,,,"Manque repères DJ HTA X50 à X59 dans la Rame 3A",,"Réalisée",,
"LA BRICHE",,,,"nombreuses dalles HS coté bat HTA et dvant les condos",,"Réalisée",,
"LA BRICHE",,,,"Pas de borne Wifi pour le réseau de l’entreprise dans le poste (Uniquement en salle PCCN).",,"A réaliser",,
"LA BRICHE",,,,"Problème réglage SA TR611 (fermeture non conforme)",,"A réaliser",,
"LA BRICHE",,,,"rames HTA tres poussiereues suite aux travaux",,"A réaliser",,
"LA BRICHE",,,,"Relancer si les TPG sont bien installés",,"A réaliser",,
"LA BRICHE",,,,"Remise au propre locaux sociaux (douche, toilette, mobilier etc…). ",,"Réalisée",,
"LA BRICHE",,,,"Serrure HS coté piste lourde loge TR611",,"A réaliser",,
"LA BRICHE",,,,"serrures a reprendre",,"Réalisée",,
"LA BRICHE",,,,"SSI en derangement",,"Réalisée",,
"LA BRICHE",,,,"Téléphones PS non fonctionnels",,"A réaliser",,
"LA BRICHE",,,,"TS porte ouverte",,"A réaliser",,
"LA BRICHE",,,,"Végétation envahissant ouvrages",,"Réalisée",,
"LA BRICHE",,,,"Verrines TIP 611 a remplacer",,"A réaliser",,
"LA BRICHE",,,,"la centrale incendie est fonctionelle mais ne communique pas avec le poste et l'ACR",,"A réaliser",,
